CaseStudyID	UKPRN
13827	10007788
13828	10007788
13829	10003956
13830	10007788
13831	10007788
13835	10003861
13836	10000961
13837	10003861
13838	10003861
13839	10007157
13840	10007157
13842	10000961
13845	10003956
13846	10000961
13847	10003956
13848	10000961
13849	10000961
13959	10007773
13964	10007795
13965	10007795
13966	10007795
14041	10007788
14042	10007788
14043	10000961
14046	10001883
14049	10001883
14050	10000961
14054	10003861
14055	10007166
14056	10003861
14057	10007788
14091	10000961
14092	10000961
14096	10007788
14098	10000961
14099	10000961
14100	10000961
14101	10000961
14102	10007788
14103	10007788
14104	10007155
14105	10007155
14106	10000961
14125	10000961
14222	10007140
14223	10001883
14224	10001883
14225	10007140
14226	10000961
14233	10007140
14244	10007140
14291	10000961
14373	10007157
14374	10007157
14375	10007157
14377	10007166
14378	10007155
14379	10007155
14380	10007141
14429	10000961
14510	10007155
14511	10007155
14513	10007157
14525	10007157
14536	10007157
14543	10007157
14565	10007157
14566	10007157
14567	10007157
14568	10007157
14571	10007774
14572	10007774
14573	10007788
14575	10007774
14576	10007788
14577	10007774
14579	10007788
14580	10007788
14581	10007774
14582	10007788
14583	10007788
14584	10000961
14585	10007774
14586	10007774
14587	10007140
14588	10007140
14589	10007774
14591	10007774
14592	10007788
14593	10007155
14594	10007788
14595	10007774
14596	10007774
14623	10007788
14648	10007774
14678	10007788
14712	10007788
14713	10007140
14714	10007140
14715	10007788
14716	10007788
14717	10007788
14718	10007788
14720	10007774
14825	10007140
14826	10007140
14911	10007155
14991	10007155
15081	10007760
15144	10007155
15156	10007760
15157	10007760
15161	10000961
15162	10003861
15163	10003861
15164	10003861
15165	10004930
15166	10007779
15168	10004930
15169	10007146
15169	10007150
15173	10000961
15174	10000961
15175	10007848
15353	10007774
15354	10007848
15356	10007774
15357	10007166
15358	10007774
15359	10007848
15360	10007848
15365	10007774
15366	10000961
15375	10000961
15376	10007848
15504	10003957
15513	10007788
15514	10007848
15515	10007155
15516	10007788
15517	10007774
15520	10007774
15525	10007774
15526	10007774
15527	10007774
15529	10007774
15530	10007774
15531	10007774
15532	10007760
15580	10007788
15613	10007779
15614	10007779
15615	10007779
15616	10007779
15617	10007779
15618	10007779
15619	10007788
15620	10007779
15621	10007779
15622	10007779
15624	10007788
15625	10007155
15626	10007155
15737	10007848
15738	10007155
15739	10007155
15781	10007155
15853	10007155
15858	10007155
15859	10007140
15860	10007140
15861	10007140
15862	10007760
15863	10003861
15864	10003861
15865	10000961
15866	10004930
15867	10007140
15868	10007778
15869	10007155
15870	10003861
15871	10003861
15873	10007140
15874	10007140
15875	10007155
15876	10007140
15883	10007155
15893	10007140
15906	10007140
15911	10007140
15982	10005790
15983	10005790
15984	10005790
15985	10005790
15987	10007155
15992	10007155
16104	10000961
16105	10000961
16106	10000961
16107	10000961
16167	10007795
16273	10007794
16644	10007155
16646	10007155
16647	10007788
16659	10007788
16697	10007788
16704	10007788
16705	10004351
16706	10007788
16707	10007788
16710	10007788
16712	10007788
16713	10007788
16714	10007788
16715	10007788
16716	10007165
16718	10007165
16719	10007165
16768	10007165
16770	10004797
16771	10007788
16772	10007774
16773	10007774
16774	10007774
16775	10007788
16776	10004930
16777	10007788
16778	10003861
16779	10007788
16780	10003861
16935	10007774
17020	10007858
17021	10007155
17022	10007143
17023	10007143
17024	10004930
17030	10007788
17090	10007788
17091	10007788
17092	10007788
